nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Bia Kicis,F,19/09/1961,89 dias,3 dias,0 dias,56 reuniões,3 reuniões,4 reuniões,"217.096,60",25190.49,25724.28,26105.29,27799.70,29874.33,15473.15,16116.39,14243.78,13146.49,22163.74,1258.96,,"1.114.049,30",111271.47,111271.47,111271.47,111271.47,111271.47,111538.39,111538.39,111538.39,111538.39,111538.39,,,"33.763,00",1
Angela Amin,F,20/12/1953,88 dias,4 dias,0 dias,61 reuniões,1 reuniões,0 reuniões,"335.603,46",32420.59,44149.40,54673.99,50177.80,45917.82,36925.47,34965.84,19369.26,7069.38,9738.31,195.60,,"1.087.642,74",108469.01,109010.60,110962.23,109111.95,109111.95,108914.61,107061.71,107061.71,107061.71,110877.26,,,"33.763,00",1
Alice Portugal,F,16/05/1959,91 dias,0 dias,1 dias,70 reuniões,0 reuniões,28 reuniões,"380.746,29",64843.86,35974.10,45630.28,30967.04,44643.22,33926.95,26133.78,37427.88,27482.05,33668.90,48.23,,"1.103.738,12",109364.13,110762.68,110837.35,110137.04,110137.04,110137.04,110137.04,110131.96,111046.92,111046.92,,,"33.763,00",
Alê Silva,F,04/07/1974,82 dias,6 dias,4 dias,54 reuniões,10 reuniões,10 reuniões,"262.368,78",21847.22,26068.76,60514.25,38257.92,39369.73,21249.25,15093.79,19228.94,15225.62,5513.30,0.00,,"757.373,84",73391.76,71163.83,70424.23,71271.43,75507.41,78795.10,74373.30,79377.41,79377.41,83691.96,,,"33.763,00",
Áurea Carolina,F,20/11/1983,75 dias,17 dias,0 dias,22 reuniões,5 reuniões,5 reuniões,"302.788,06",15477.79,17211.99,36192.89,50919.99,47628.80,36660.42,25545.07,22852.05,27143.68,23155.38,0.00,,"1.106.538,10",110482.87,110320.03,111502.08,111502.08,111502.08,111499.25,111417.08,111417.08,111417.08,105478.47,,,"33.763,00",
Aline Sleutjes,F,26/07/1979,81 dias,11 dias,0 dias,25 reuniões,7 reuniões,5 reuniões,"271.444,38",18718.10,42340.70,49189.30,28504.61,62024.69,25909.67,20829.47,10742.51,4466.72,8102.19,616.42,,"1.047.581,56",108562.89,107823.39,108054.31,102862.93,104407.00,105903.30,107141.12,104241.48,105514.93,93070.21,,,"33.763,00",
Aline Gurgel,F,25/11/1980,78 dias,11 dias,3 dias,16 reuniões,7 reuniões,27 reuniões,"425.828,00",42916.79,55902.66,41953.93,40253.23,74755.05,10460.16,40552.36,44238.07,50064.19,24731.56,0.00,,"1.109.475,15",111429.18,111160.99,111429.20,111429.20,111429.20,111429.20,111429.20,111429.20,109688.29,108621.49,,,"33.763,00",
Bruna Furlan,F,28/04/1983,39 dias,0 dias,4 dias,0 reuniões,0 reuniões,0 reuniões,"77.114,78",12812.15,15234.17,17325.26,17939.40,,,,283.61,5769.80,6302.20,1448.19,,"986.727,25",102008.81,103337.22,104665.63,85126.66,89553.78,105191.41,111416.96,104020.17,87826.95,93579.66,,,"33.763,00",
Benedita da Silva,F,26/04/1942,45 dias,47 dias,0 dias,22 reuniões,18 reuniões,15 reuniões,"278.916,75",27548.63,36708.62,32332.80,38159.47,42904.22,28769.87,17965.43,15365.95,9555.15,28558.54,1048.07,,"1.114.575,79",111495.90,111448.24,111228.98,111228.98,111228.98,111354.55,111647.54,111647.54,111647.54,111647.54,,,"33.763,00",
Carla Dickson,F,02/07/1976,91 dias,0 dias,1 dias,62 reuniões,0 reuniões,5 reuniões,"321.096,04",24586.19,44761.07,52267.87,31382.92,38231.83,32701.13,15878.04,19847.11,20700.30,40204.82,534.76,,"1.112.342,45",111271.39,111271.39,111271.39,111271.39,111271.39,110132.42,111538.26,111238.30,111538.26,111538.26,,,"33.763,00",
