nome,genero,data_nascimento,presenca_plenario,ausencia_justificada_plenario,ausencia_nao_justificada_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_nao_justificada_comissao,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_mai_par,gasto_jun_par,gasto_jul_par,gasto_ago_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_mai_gab,gasto_jun_gab,gasto_jul_gab,gasto_ago_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,salario,quant_viagem
Fernando Coelho Filho,M,28/02/1984,81 dias,5 dias,6 dias,6 reuniões,4 reuniões,39 reuniões,"289.091,64",32904.38,35321.53,50966.51,42640.35,22991.65,38141.86,34943.44,7902.03,1571.47,20930.42,778.00,,"1.087.816,23",106461.21,106461.21,106461.21,106461.21,107548.75,111277.47,111277.47,110295.40,110786.15,110786.15,,,"33.763,00",
Fred Costa,M,12/07/1977,83 dias,9 dias,0 dias,14 reuniões,1 reuniões,5 reuniões,"285.262,12",14730.30,29479.43,41701.41,55095.45,44266.74,24177.23,21336.08,23057.48,15301.98,12687.52,3428.50,,"1.077.826,83",110167.89,108567.01,109305.97,109305.97,109563.08,108452.71,101554.25,109006.01,107977.56,103926.38,,,"33.763,00",
Franco Cartafina,M,03/11/1986,86 dias,3 dias,3 dias,44 reuniões,4 reuniões,15 reuniões,"318.135,20",28065.10,33009.58,43304.17,45119.68,52088.32,34699.31,22247.15,51692.11,5409.62,2332.94,167.22,,"1.112.857,76",110962.06,110962.06,110962.06,110962.06,111166.17,111568.67,111568.67,111568.67,111568.67,111568.67,,,"33.763,00",
Filipe Barros,M,29/05/1991,82 dias,10 dias,0 dias,13 reuniões,3 reuniões,10 reuniões,"289.321,08",39534.77,31282.38,56382.81,46765.21,50641.59,43365.67,18271.75,239.65,40.19,1714.17,1082.89,,"938.905,52",97669.43,98842.46,98853.61,101434.99,105314.69,105934.61,105601.33,88221.20,71613.40,65419.80,,,"33.763,00",
Flaviano Melo,M,17/11/1949,82 dias,10 dias,0 dias,3 reuniões,0 reuniões,1 reuniões,"438.870,21",34282.68,37155.36,51227.13,29713.90,79405.70,25480.53,38048.40,39592.10,54822.12,29142.29,20000.00,,"1.104.480,65",107904.83,107983.89,111367.03,111659.62,111659.62,111659.62,111659.62,110227.30,110179.56,110179.56,,,"33.763,00",
Francisco Jr.,M,15/03/1969,87 dias,3 dias,2 dias,25 reuniões,2 reuniões,6 reuniões,"309.142,86",17093.58,30616.27,50032.21,33547.10,38718.63,30008.06,31405.20,20504.95,10000.71,26688.21,20527.94,,"1.076.485,10",110440.58,110440.58,110440.58,110440.58,108630.41,108370.30,101304.39,105472.56,105472.56,105472.56,,,"33.763,00",
Fernando Monteiro,M,17/09/1976,87 dias,5 dias,0 dias,17 reuniões,4 reuniões,3 reuniões,"320.877,65",33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,29824.28,683.97,,"1.095.114,70",111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43,,,"33.763,00",1
Fernando Rodolfo,M,17/11/1983,83 dias,4 dias,5 dias,17 reuniões,3 reuniões,51 reuniões,"302.649,08",34398.75,35640.31,48456.09,61790.50,42253.99,30175.92,26376.10,10140.69,7883.19,5533.54,0.00,,"1.015.741,66",110824.90,108472.48,109833.05,104726.42,110607.73,107797.77,106334.87,77927.20,90812.99,88404.25,,,"33.763,00",
Flávio Nogueira,M,27/02/1953,91 dias,1 dias,0 dias,39 reuniões,0 reuniões,4 reuniões,"395.772,41",38329.27,41835.51,39604.13,37048.37,42494.03,47068.00,42082.62,36727.61,36484.39,34098.48,0.00,,"1.106.884,69",110937.69,110937.69,111074.66,110962.76,111467.18,111544.27,111544.27,111544.27,111544.27,105327.63,,,"33.763,00",
Frei Anastacio Ribeiro,M,03/03/1944,86 dias,6 dias,0 dias,30 reuniões,4 reuniões,14 reuniões,"361.696,70",40812.78,41699.11,53527.13,42212.73,53135.08,32573.14,21560.81,17788.85,19494.29,37582.25,1310.53,,"1.106.146,52",110889.19,110889.19,110889.19,110313.55,109560.78,110047.86,110889.19,110889.19,110889.19,110889.19,,,"33.763,00",
